,competitionId,eventId,groupId,isExtra,roundTypeId,scramble,scrambleId,scrambleNum,Optimal Movecount,Optimal Solution
14292,MumbaiSummerOpen2014,222,A,0,f,R' U' R U R U' R2 U2 R U' F',17878,4,4, F R' U' R2
18559,LegnanoOpen2014,222,A,1,1,U2 R U' R' U' R' F R U' R' U',23094,2,4, R U F' R
36801,USNationals2014,222,C,1,1,R' F R U R F' U' R' F R2 F',46504,1,4, F' U R2 F2
40886,NovaOdessaOpen2014,222,A,0,f,U' R' U2 F2 R2 U2 R2 U2 R U' R,50891,1,4, R' U' F2 U'
41363,OleksandriiaOpen2014,222,A,0,f,R F U' R2 U2 R2 F U2 R U' R,51368,3,4, R' F U F2
63516,CaltechFallOpen2014,222,B,0,f,U' R' U' R U R' U2 R2 U2 R2 U,76494,4,4, U2 R U' R'
68110,Johannesburg2014,222,D,0,1,U R' U R U' R U' R' U' R' U2,82158,5,4, R2 U R2 U'
73289,LatvianOpen2014,222,B,0,1,R' F U' F R F U' R2 U2 R' U',87952,2,4, U R2 F' U'
76880,HuddingeCubeDay2014,222,A,0,1,U R' U2 F' U' R U R' F U2 R2,92147,1,4, R' F U' F'
83229,SCMU2015,222,D,1,2,U' R U' F' U' R' U2 R U' R' U',101960,1,4, R' U2 F' R2
115516,QinhuangdaoOpen2015,222,A,1,d,U' R' U' F U' R U F U' R2 U',139351,2,4, U' R F' U
118295,WelwynGardenCity2015,222,B,0,1,U2 R' F R U R' U' F' R U R,142345,3,4, F' U' F U
125467,CanadianOpen2015,222,A,0,1,R U' R' U' R U2 F' U' R2 F' U2,149865,1,4, R U2 R2 F
154121,ItalianChampionship2015,222,C,0,1,R' U' R U2 R' U R U R' F2 U2,183800,5,4, R' U2 F2 U
197500,CrazyCubesOpen2015,222,A,0,1,R' U' F' R2 U' R' U' R' U2 R U2,231849,4,4, F U R F
200553,BrainStudioWinter2015,222,D,0,d,R' U2 F' U2 F' U' R U R U' R',234902,2,4, R' F' U F2
203934,OregonStateAlpha2016,222,A,0,f,U R U' R2 U F U' F' R U' R,238682,2,4, R2 U' F R2
206640,BeskidyCubingDay2016,222,D,1,d,R' U' R2 F' U2 R2 U' R U R U',241609,1,4, R U F U
