competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_solution
MumbaiSummerOpen2014,f,A,0,4,R' U' R U R U' R2 U2 R U' F', F R' U' R2
LegnanoOpen2014,1,A,1,2,U2 R U' R' U' R' F R U' R' U', R U F' R
USNationals2014,1,C,1,1,R' F R U R F' U' R' F R2 F', F' U R2 F2
NovaOdessaOpen2014,f,A,0,1,U' R' U2 F2 R2 U2 R2 U2 R U' R, R' U' F2 U'
OleksandriiaOpen2014,f,A,0,3,R F U' R2 U2 R2 F U2 R U' R, R' F U F2
CaltechFallOpen2014,f,B,0,4,U' R' U' R U R' U2 R2 U2 R2 U, U2 R U' R'
Johannesburg2014,1,D,0,5,U R' U R U' R U' R' U' R' U2, R2 U R2 U'
LatvianOpen2014,1,B,0,2,R' F U' F R F U' R2 U2 R' U', U R2 F' U'
HuddingeCubeDay2014,1,A,0,1,U R' U2 F' U' R U R' F U2 R2, R' F U' F'
SCMU2015,2,D,1,1,U' R U' F' U' R' U2 R U' R' U', R' U2 F' R2
QinhuangdaoOpen2015,d,A,1,2,U' R' U' F U' R U F U' R2 U', U' R F' U
WelwynGardenCity2015,1,B,0,3,U2 R' F R U R' U' F' R U R, F' U' F U
CanadianOpen2015,1,A,0,1,R U' R' U' R U2 F' U' R2 F' U2, R U2 R2 F
ItalianChampionship2015,1,C,0,5,R' U' R U2 R' U R U R' F2 U2, R' U2 F2 U
CrazyCubesOpen2015,1,A,0,4,R' U' F' R2 U' R' U' R' U2 R U2, F U R F
BrainStudioWinter2015,d,D,0,2,R' U2 F' U2 F' U' R U R U' R', R' F' U F2
OregonStateAlpha2016,f,A,0,2,U R U' R2 U F U' F' R U' R, R2 U' F R2
BeskidyCubingDay2016,d,D,1,1,R' U' R2 F' U2 R2 U' R U R U', R U F U
GrudziadzOpen2016,f,A,0,4,U' R F R U R F' U' R2 U' F, F' U R F'
CCCSpringOpen2016,1,A,0,4,R' U' R U' R' U' R U' R U R, U' R2 U' R
SPBSpringOpen2016,1,C,0,5,R' F' R U2 R' F R U R' F U', U F R U'
OruroOpen2016,f,B,1,2,R U' R' U' R U2 F' R2 U' R U', F' U' R U2
SCMU2016,2,C,1,1,R F R U R' U' F U' R U R', F' U F2 R'
SlowNSteadySpring2016,d,C,0,5,U R' U' F U' R U F U' R2 U', U' R F' U'
FullStepsinBrest2016,2,A,0,1,R U' R' U' R F' U' R' U' R' U2, F' R' U2 R2
LegendsofRubik2016,2,B,0,5,R' U' R2 U' F' U' R' U' R' U2 F, F2 U R' U'
EdmontonLimitedSummer2016,1,B,0,2,U2 R' U' R U R' U2 R2 U2 R2 U', R U' R' U
CroatianOpen2016,f,A,0,4,R' U2 R2 U2 R' U R U' R' U' R', U' R U' R'
KaohsiungOpen2016,1,C,0,2,U' F U2 R U R U' R' U' R' U', R U' F' U
NewportFall2016,1,C,1,1,R U' F' R2 U' R2 U' R2 U F R, U F2 R2 F
ShriRamCubingChallenge2016,1,D,0,5,U R' U2 F' U2 R2 U' R' U' R U2, U2 R F' R'
PhillipsExeterCubeDay2016,f,B,0,2,U' R U' R2 F U' F2 R U' R U', U' F' R F2
BerkeleyFall2016,d,C,1,1,U R U' R' U' R' U' R U2 F U2, U2 F' U' R
BerkeleyFall2016,d,D,1,2,R U' R2 F' U R U R U' R' U2, U' F U R2
SydneyChampionship2016,2,B,0,5,R' F' R2 U' R' U' R' U' R U R, U R' F R
CubeleloWinterOpen2016,2,C,0,5,U R' U' R U R U' R' U' R' U', R U2 R U'
CubersEastIndiaOpen2017,1,H,1,1,U' R' U R U R' F' U' R U R', R2 U' R' F
CliftonWinter2017,d,A,0,2,U R' U' R2 F' R' U R' F2 R2 U', U' F2 R2 F'
CalisayOpen2017,1,A,1,1,U2 R U' R' U' R U2 R' U R' F', F R2 U R'
LondrinaOpen2017,f,A,0,5,R U' R' U' R' F R U' F' R U', R' U F U2
QingdaoPrimeNumbers2017,f,A,1,2,U' R' F' R U2 R' F R U R F', F R2 F2 R
TechweekNZ2017,f,A,0,3,U' R' U' R' U2 F' R U' R' U' F, F' R' U F'
3rdGuwahatiOpen2017,f,B,0,4,R' U2 R2 F' R2 U2 R2 U' F' R' U', R' F R U
PlentziaOpen2017,2,B,1,1,R' U2 F' R2 U2 R' U' R' U2 F U2, U2 F2 R' F
SunmarkeDubaiOpenII2017,d,B,0,3,U' R' F U' F' U R U' R U' F', F R' F U2
ZhongshanOpen2017,f,A,0,5,R U' R' U' R' U' R U R' U2 R, R U2 R2 U'
MiraVe2017,f,A,0,1,R U R' U' F U' R U R' F R, R' F2 U F'
TaiwanChampionship2017,2,B,0,3,R' U' F' R U' R F' U' F' R' U, F' U' F2 U'
SydChamps2017,1,A,0,5,U2 R F' U' R' U' R' U' F' U' R, R' U2 R2 F
KharkivWinter2017,1,D,0,4,U' R U' R' U2 R' U' R U' R U2, U' R2 U R
Pocoes2018,2,A,0,2,R' F U' R U R U2 R' U' R' U', R2 U2 F' R
IzmirOpen2018,1,B,0,3,R' U2 F' R2 U' R' U R' U' F' U', U R' F2 U'
LSD2018,1,F,0,3,R' U2 F R U2 F R U' R' U2 F, F2 R' U2 R
OneLYCube2018,f,A,0,1,U' R' U' R' U2 R U R' U2 R2 U', U' R2 U' R2
GreatLakesChampionship2018,2,B,1,2,R F' U2 F' U' R' U' R' U' F R, R2 F2 U' R
EkatSummer2018,1,D,0,2,U2 R' F' R2 U' R' U2 R' U F R2, F2 R' F R'
ArCubingFest2018,f,B,0,4,U' R' U F U2 R U' R' U' R U', F' R U R'
ProjectZamosc2018,f,A,0,1,U R U2 R' U' R' U' R2 U2 F' R2, R2 F U' R
BaiaMareNorthOpen2018,1,B,0,5,F U2 R U R' U2 R U' R' U' R, U2 R' U' F'
CarolinaSeasonStarter2018,1,B,1,1,U R' F R U2 F R U' R U2 R2, U2 R2 F' U'
SwissNationals2018,2,A,1,1,F R U R U' R' U' R' U' R2 U', U R' U F'
DAIICTOpen2018,1,C,0,2,R' F R U2 F R U' R' U' F U', U F' U' F'
AventuraCubicaVI2018,1,D,0,4,U R' F R U2 F R U' R U2 R2, U2 R2 F' U'
NordicChampionship2018,1,A,0,5,R' U2 F' R2 U2 R' U' R' U2 F U, U' F2 R' F
DalhousieOpen2018,2,A,0,5,R F' U' F' R' U2 R' F R U' R, R' U2 R F2
FuengirolaCubea2018,1,C,0,2,U R F U' R2 U2 R2 F U2 R U', F U F2 U'
NovemberDaysinMinsk2018,1,A,0,5,U R' U' R2 F' R' U R U' R2 U', U R2 U' F
BigStateChihuahua2019,1,B,1,1,R U2 R U' R' U' R' F R U' R', U' R U F'
OculusCubeOpen2019,1,G,0,4,U' R' F' U' R U' R U' R' F' R', U R' U' F2
KSFPavlodarCity2019,1,A,1,1,R' U' R2 F' R2 U' R' F R U R', R2 F' R F
SergioArboleda2019,1,A,1,2,U' R F' U' F' R' U2 R' F' R2 U', F2 R' U F'
BarbeCubingSpring2019,d,E,0,5,F' U' R' U R U' R' U' R' U' R, U R2 U F
PugetSoundSpring2019,f,A,0,3,R2 U' R' U' R' U' R U R F' R', R F U R'
SantaFeInvierno2019,1,E,1,1,U F' R' U' R' F R U R U' R', R U F U2
IIOpenCarrancubos2019,1,A,1,1,U' R' U2 F' R2 U' R' U' R F' R', U' F' U2 F
QuijoteOpen2019,1,A,0,1,U R' F R U R F U' F U2 F, F R U2 F2
