competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
VedrunaBalaguerOpen2020,1.2,1,B,1,U2 R' F' U2 R U' R' U R U' R',9.0, F R U2 R' F2 U F' R U'
VedrunaBalaguerOpen2020,1.2,1,B,2,R' F U' F R U R U' R F U',8.0, R' F' R' F U R' F2 R
VedrunaBalaguerOpen2020,1.2,1,B,3,R U2 R' U' F R U' F2 R U' R,8.0, R F2 U' R2 U F2 R' F'
VedrunaBalaguerOpen2020,1.2,1,B,4,U' R' F U2 F' R2 F U2 F' R U,9.0, R2 F R2 U' R2 U R2 F' R2
VedrunaBalaguerOpen2020,1.2,1,B,5,U R' F R U' R F' R2 F' R' U2,10.0, F U' R2 F' U F R' U R' U
AldeillasinFMCOpen2023,1.4,1,C,1,U2 R U2 F U' R U R' U2 F R,8.0, U2 F R' F U F' R2 U'
AldeillasinFMCOpen2023,1.4,1,C,2,F U2 R U R U2 R2 U' R U2 R,8.0, R U2 F' U2 R' U F2 R
AldeillasinFMCOpen2023,1.4,1,C,3,R2 U2 R' U2 R U' R2 U' R F R,10.0, F R2 F' R F' R2 F' R2 U F'
AldeillasinFMCOpen2023,1.4,1,C,4,R U' F U' F U2 F R2 F' U2 R2,9.0, R' F' R F' R2 F' U2 F R'
AldeillasinFMCOpen2023,1.4,1,C,5,U R' U R' U' F' U2 R U R' F,9.0, F2 U2 R' F2 R U F2 R2 U'
BelgianWinter2015,1.4,f,A,1,R' U2 R2 U2 R' U' R' F2 R2 U' F',8.0, R2 F2 R U' R U' R' U
BelgianWinter2015,1.4,f,A,2,R F' R' U' R' U F R' U2 R U,10.0, F U R2 F U' R' F U' R2 U
BelgianWinter2015,1.4,f,A,3,U R' U2 F' R U2 R' U F R2 U',9.0, R2 U' R F R' U R' F2 R2
BelgianWinter2015,1.4,f,A,4,R F U' R2 U2 R' U R' F' U' F,9.0, R F U F2 U F2 R U F
BelgianWinter2015,1.4,f,A,5,R' U' R2 U' R2 F U' R U R F,8.0, R' F R' U R U' F R2
ConcordiaTurning2022,1.4,1,B,1,R' U2 R U2 R2 U' R2 U' F R2 U',9.0, F U' F' U2 F R2 F2 U' F'
ConcordiaTurning2022,1.4,1,B,2,R2 U2 R U2 R F' U2 R' U2 R U',9.0, F R2 U' F U2 R2 F U' R
