competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
QUTQubeChallengeSaturday2023,2.0,1,F,1,U' R' U2 F U' F' R2 F R2 U' R2,8.0, U2 F2 U R2 U' R2 U2 F'
QUTQubeChallengeSaturday2023,2.0,1,F,2,R' F R' F2 U' F' R U' R U' R',9.0, R U2 R2 F U F' R F2 R
QUTQubeChallengeSaturday2023,2.0,1,F,3,R2 U' R U' R' U' R2 U2 R2 F' R,10.0, F U2 F2 R' U' F' U' F R F2
QUTQubeChallengeSaturday2023,2.0,1,F,4,R' U' R U R U2 F' R' U2 R2 U2,9.0, R2 U2 R' F U' R U' R' U'
QUTQubeChallengeSaturday2023,2.0,1,F,5,F' U2 R U2 R U2 R' U R' U R,9.0, F2 U' F' R2 F U2 F U' F'
SASprintShowdown2024,2.0,2,A,1,U2 F2 U' F U' R U R' F U2 R,10.0, F U R' U2 R' U2 R F' U R'
SASprintShowdown2024,2.0,2,A,2,U' R' U2 R2 F' R' F' U2 R2 F R,9.0, U F R2 F U2 F' R2 F2 U'
SASprintShowdown2024,2.0,2,A,3,R' U2 F U' R2 U' R U2 R2 U2 R,9.0, R U2 R U R2 U F' U2 R
SASprintShowdown2024,2.0,2,A,4,U R F' R' U R U' R2 F' R2 U2,9.0, F U R2 U R' U R U2 R2
SASprintShowdown2024,2.0,2,A,5,R' F U F R' F U' R U2 R' U',8.0, U R U2 R2 F' U R2 U2
LETIOpen2017,2.2,2,B,1,U' R' U F R U R' F' R2 U2 F,9.0, F' U2 R F' R U' F' R U2
LETIOpen2017,2.2,2,B,2,R' F U' R' F R U2 R F' R' U',9.0, R F2 U R U R' U F' U'
LETIOpen2017,2.2,2,B,3,R U R' U' F U2 F2 U2 R U R,8.0, F U' F' R2 U' F' U2 F
LETIOpen2017,2.2,2,B,4,U F' U F U' R2 U2 R' U2 R' U2,9.0, U2 F2 R' F' U F2 U F R2
LETIOpen2017,2.2,2,B,5,U' R' U2 F' U' R2 U R' F U2 R,10.0, F U' F' U2 F' U2 R' F' R U'
VolgaNizhnyNovgorod2020,2.2,1,B,1,R' U2 R' U' R U2 R' F R2 U2 R',9.0, F2 U R' F U R' U2 F2 R2
VolgaNizhnyNovgorod2020,2.2,1,B,2,R' F' U2 F2 R2 F' R2 U2 F R U2,9.0, U R' F2 U F' R' U2 F2 R2
VolgaNizhnyNovgorod2020,2.2,1,B,3,R U' F' R F' U2 R' U R F' R',9.0, F U F' U R F2 R F U
VolgaNizhnyNovgorod2020,2.2,1,B,4,U R F' U' R2 U' F R2 U' R2 F,8.0, F2 R' F U R2 U' R F'
VolgaNizhnyNovgorod2020,2.2,1,B,5,R U' F' U' F' U' R2 U F R U,8.0, F R2 U' F' R F2 U F
AlphenTracktoRecords24h2023,2.4,2,A,1,U' R U' R' U2 R U2 R' F' R2 U2,9.0, U2 R F2 R F R' F R F'
AlphenTracktoRecords24h2023,2.4,2,A,2,R F' R2 U F' U2 F R U' R' U',9.0, F U' F' U' R2 F' R F2 R'
AlphenTracktoRecords24h2023,2.4,2,A,3,U R U' F' R' U2 R U2 R' U2 R,8.0, F R' F' U F U R U'
AlphenTracktoRecords24h2023,2.4,2,A,4,U' R F R U' R U' F' U2 R' U,8.0, R U2 F R2 F U2 F2 R
AlphenTracktoRecords24h2023,2.4,2,A,5,U R' U' F' U2 F' R U R U2 R',9.0, F U' R' U R2 F' U2 R' U
CETis156Broncos2025,2.4,f,A,1,U' R' U' F' U' F U' R U F' R2,8.0, R2 F2 R U R U' R F'
CETis156Broncos2025,2.4,f,A,2,U R F U' F2 R' U2 R U' R U',9.0, U R' U F2 U R2 F' U' R'
CETis156Broncos2025,2.4,f,A,3,U' R U R' U R U2 R' F U' R2,9.0, F' R' U F2 U' R F R2 F'
CETis156Broncos2025,2.4,f,A,4,U2 R F' U2 R' U' R F' U' R2 F,8.0, F R' F U' F' R' F2 U2
CETis156Broncos2025,2.4,f,A,5,R' F' U F' R U R U2 R2 U' F',8.0, F U' R2 U F U' R U
HonoluluHPermHoike2023,2.4,1,B,1,R' U' R' F R U' R' U2 F R U2,9.0, U2 R U' R2 F2 R U2 F' U
HonoluluHPermHoike2023,2.4,1,B,2,U R U2 F2 R U' R2 U' R2 U' R2,9.0, F2 U F U' F2 U' R' U2 F'
HonoluluHPermHoike2023,2.4,1,B,3,U2 R' U' R U' R U' R2 F' R' U',9.0, U R U2 R2 U' F' R U' F'
HonoluluHPermHoike2023,2.4,1,B,4,F U2 R2 U' F' U' R2 U' R U' R',8.0, R' U2 R' F' R U' F U2
HonoluluHPermHoike2023,2.4,1,B,5,U2 R' F' U' F U F U' R U R',9.0, U2 F' U F2 U2 F U' R U'
HowlandHighSpring2017,2.4,d,E,1,R' F R F2 U' R U R U' R' U',8.0, R' U' R U2 F2 R' F' R
HowlandHighSpring2017,2.4,d,E,2,R' F U' F U R U2 R' F R' U,10.0, U2 F' U' F' R2 F U F2 U R2
HowlandHighSpring2017,2.4,d,E,3,U' R' U2 F R2 U' F' R' U2 R2 F,9.0, F U' R F2 U2 R F' U' R'
HowlandHighSpring2017,2.4,d,E,4,U R' F2 R U' F R U' R F' R2,9.0, F2 R' U R2 U' R F U2 F2
HowlandHighSpring2017,2.4,d,E,5,U2 R F' R' U R F R U R' U',8.0, F U2 R U2 R F U R
OdenseClassicCubing2023,2.4,f,A,1,R F' U2 R' U' R U2 F' R2 F R2,9.0, F' R2 F' R2 F' U F U' R
OdenseClassicCubing2023,2.4,f,A,2,R' U2 F R2 F' R2 U' F' U2 R U,9.0, F R U' R U' F R' F U
OdenseClassicCubing2023,2.4,f,A,3,R' F' U' R U2 R' U R' U' F' U',9.0, F' R2 U R F2 U' R' U F2
OdenseClassicCubing2023,2.4,f,A,4,U2 R' F U R F' R U2 R' U' F,10.0, F2 U F' R' U' F2 R U F2 U
OdenseClassicCubing2023,2.4,f,A,5,U R U' R2 U' R F' U F R U',9.0, R' F2 R' U2 R' F U2 R2 F2
RheinlandPfalzOpen2024,2.4,1,C,1,F' U' R U' R U2 F' U' R' U' R',9.0, U2 F' R U2 F U F2 U' R'
RheinlandPfalzOpen2024,2.4,1,C,2,R' U R2 U2 R' U2 R U2 R2 U' R2,10.0, F R F2 U' F2 U R2 U' R F'
RheinlandPfalzOpen2024,2.4,1,C,3,R U' F' R2 U2 F' R U2 R U' R',9.0, R' U2 R U' R U2 F' U2 F
RheinlandPfalzOpen2024,2.4,1,C,4,F U' F U' F U' F R U R2 U',10.0, F2 R2 U' R2 U R' U R U' F2
RheinlandPfalzOpen2024,2.4,1,C,5,U' R F' U2 R2 U' F2 U2 R2 U2 R2,8.0, R F R2 U2 F2 U' F2 U'
SNUOpen2017,2.4,2,A,1,R' F' U2 F U' F2 U' F R U R,8.0, F' R' U2 R F R2 U F2
SNUOpen2017,2.4,2,A,2,R U' R F' R' U' R U' R' U2 R',7.0, R F' R2 F' U' F2 R2
SNUOpen2017,2.4,2,A,3,R U' R' U R' F' R2 U' R2 F' U',7.0, F R' U' R F2 R' U2
SNUOpen2017,2.4,2,A,4,R U2 R' U2 R' F2 U2 F U' R' U',9.0, R' U' F' U R2 F' R U2 R'
SNUOpen2017,2.4,2,A,5,R' U' R U' F U2 R2 F' U' R2 F,9.0, U2 F' R' F R' U F2 U R2
SzokolyaOpen2023,2.4,2,A,1,U F' R U2 R U2 R2 F U F U',9.0, F U' F' U F2 U' R F U'
SzokolyaOpen2023,2.4,2,A,2,R F' R' U2 R' U2 R' F' U2 R2 U2,10.0, F U R2 U2 R' F2 R U' F2 U
SzokolyaOpen2023,2.4,2,A,3,U' R' F R U2 R' F U2 R' F R,8.0, F' R2 U F' U' F' R F
SzokolyaOpen2023,2.4,2,A,4,U' R' F U2 F' R U R F' R' U,9.0, U' R F R' F R' U2 R F'
SzokolyaOpen2023,2.4,2,A,5,U' R U2 R' U2 R' U2 R U' R2 U2,9.0, R U' F U2 F2 R2 U F U
TroyStory2023,2.4,1,C,1,R U2 F U F R U' R' U' R U,9.0, F U' R2 F' R2 F R U2 R'
TroyStory2023,2.4,1,C,2,U' R' U' F' R2 F' U2 F' R' U' R,9.0, F U F R2 F U R2 U F
TroyStory2023,2.4,1,C,3,U2 F U' F R U R' U' R U' R2,10.0, F U R' U2 R U2 R' U R F2
TroyStory2023,2.4,1,C,4,F R' F' R2 F' R' U R U' R' U,10.0, F U2 R2 F' U R' U2 F2 U R
TroyStory2023,2.4,1,C,5,R' U' R2 F R U' R' U2 R' U F,10.0, F U' R2 U R U2 R U2 R F
AnkaraWinter2022,2.6,2,C,1,R' F R U' R F' R2 U' R U' R',7.0, R2 U R F R' U R'
AnkaraWinter2022,2.6,2,C,2,U2 R U2 R' U R' F U F2 U' R2,9.0, F2 U2 F' R2 U2 F' U' R2 F2
AnkaraWinter2022,2.6,2,C,3,U' R F' U' R2 U' R2 U' R2 U2 F,7.0, R F2 R2 U' R' F2 R2
AnkaraWinter2022,2.6,2,C,4,U' R' F U2 R U2 R' U2 R F R2,8.0, R F' U R' F' U2 R U
AnkaraWinter2022,2.6,2,C,5,F' R' U R' U' F U' F' U2 F U',7.0, U' R U2 R F2 R2 F'
BGCNewcomer2025,2.6,f,A,1,U R' U R U2 R' F U' F2 U R',9.0, F' R U F U' F R' F2 R2
BGCNewcomer2025,2.6,f,A,2,F R U' R F' R2 U' F R F R,9.0, F U R2 F U2 R' U' R2 F'
BGCNewcomer2025,2.6,f,A,3,R' F' R2 F U' R U R2 U' R U',10.0, F' U' F' U2 R F' R2 U2 F R'
BGCNewcomer2025,2.6,f,A,4,R' U' R U' R' U2 R' U2 F R2 U',9.0, F R' F U' R U2 R F2 R2
BGCNewcomer2025,2.6,f,A,5,R' U2 F' U F U' R2 U2 R' U2 R,9.0, U2 F2 U' F U F' R2 F' R2
BlindmasLandvetter2024,2.6,f,A,1,U' F' U' R' U R U2 R2 U' R F,10.0, F U2 R' U' R2 F U F U2 F
BlindmasLandvetter2024,2.6,f,A,2,U' R' F R U2 R' U' R2 F R' F,10.0, F2 U' F R U R2 U F2 U F'
BlindmasLandvetter2024,2.6,f,A,3,R U2 R' U' R F R2 U2 R' U' R,8.0, R' U R U' R U' F' R'
BlindmasLandvetter2024,2.6,f,A,4,R F' U2 R' U2 R' U2 R2 U2 R' U2,9.0, U2 R2 F' U F U' R F R
BlindmasLandvetter2024,2.6,f,A,5,R' U F U2 F U F2 U' F R2 U',10.0, F U' F2 U R' F R2 U2 F2 U'
CampeonatodePortugal2015,2.6,f,B,1,R F' U2 R2 U' R U' R' U' F R2,8.0, U2 R F' U F' U' R F2
CampeonatodePortugal2015,2.6,f,B,2,U2 R' U' F' U R U2 R' F R2 U',8.0, U R' F U2 R U2 R' F'
CampeonatodePortugal2015,2.6,f,B,3,U R U' R' U2 F' R' U R' F U2,9.0, U2 F' R F U2 R F R' U'
CampeonatodePortugal2015,2.6,f,B,4,U R U R' U2 F R U2 R' U' F,8.0, F2 U F' U' F2 R U2 R'
CampeonatodePortugal2015,2.6,f,B,5,U2 R' U' R2 U2 F' R' U R' F2 U2,9.0, R' F2 U' R2 U' R U' F' R2
