competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Prime Move Count
AnkaraAugust2024,1,B,0,2,U' R' U' F' R2 F' R' U' R' U' F',10
FundacionAnayJoseBogota2024,1,A,0,5,R' U' R' F' U' F' U' R2 U' F' R',10
MicentroFunza2024,d,D,0,4,F' U' R' U' R' U' R2 U' F' R' U',10
GuaraOpen2024,f,A,0,5,U' R F' U' F' U' F' U' R' U' R',10
BurgasOpen2023,1,D,1,1,U' R' F' R2 U' R' F' U' R' U' R',10
OakvilleAutumnLimited2018,2,A,0,1,R' U' F' U' R U' R' U' F' U' F',10
Sqauckland2025,1,C,0,4,R' U' R' F' U' F' R U' R' U' F',10
BattleofVirginiaBeachWinter2019,f,A,1,2,R U' F' U' R' U' R' F' U' R' U',10
UtahSpringOpen2019,1,C,0,5,R' U' F' U' F' U' F' U' R2 U' R',10
ClockingManiaCoacalco2025,f,A,0,4,R' U' F' U' R2 U' R' U' R' F' U',10
SabahCubeOpen2018,1,A,0,1,R' F' R' U' R2 F' U' R' U' R' U',10
KharkivWinter2017,2,A,0,1,U' R' F' R U' R' U' F' U' F' R',10
TaiwanSummerOpen2014,2,A,0,1,R' F' U' R2 F' R' U' R' U' F' U',10
UkrainianOpen2015,2,A,0,2,U' R' U' R U' R' F' U' F' U' R',10
LowerMorelandFall2018,1,F,0,1,U' R' U' F' R2 F' U' R' U' R' U',10
VilniusSpringOpen2023,f,A,0,4,U' R' U' R' U' F' R2 F' U' R' U',10
LosReyesdelCuboChiclayo2024,1,F,0,2,U' R' U' F' U' R2 U' F' R' U' R',10
LimaSummer2023,1,B,0,3,U' R' U' F' U' F' U' R U' R' U',10
SacCubingIII2018,1,K,0,1,R' U' F' R2 F' U' R' U' R' U' F',10
NacionalesUruguayas2024,2,C,0,2,R' U' F' U' R U' R' F' U' R' U',10
TaiwanChampionship2024,1,F,0,3,R F' U' F' U' F' U' F' R' U' R',10
DixonFall2016,1,E,0,3,R' U' R2 U' R' U' R' U' F' U' F',10
PSKGPremiereCubing2023,1,C,1,2,R' U' F' U' F' R2 U' R' U' R' U',10
KyrgyzstanNationals2025,1,B,0,3,R' F' U' R2 F' R' U' R' U' F' R',10
FLIPOpen2018,1,C,1,1,U' R' F' U' R U' R' F' U' F' U',10
SanLucasOpen2018,d,C,1,2,R' U' R' F U' F' U' F' R2 F' U',9
OregonStateFavorites2018,1,B,0,4,R' U2 F' R2 F' U' R' U' R' U' F',9
VintercubingiHvidovre2024,2,C,1,2,U' R' U' F' U' F R2 F' U' F' R',9
Florida2019,1,A,0,5,R F' U' F' R' U' R' F' U' F' U2,9
PotosiOpen2019,f,A,1,2,U' R' U' R U' R' F' U' F' U2 R',9
RealGeekcuberPucallpa2023,d,D,0,1,U' R' U' F U' R U' F' R' U' R',9
TaiwanChampionship2016,1,C,0,4,R' U' R2 U' R' U' R' U' F' U' R2,9
IIASummerOpen2017,d,G,0,5,U' R U' F' R' U' R' U' R2 F' R',9
GLSCupII2016,d,D,0,2,U' R' U' F' R' U2 R2 U' F' U' R',9
RomanianCubingOpen2018,f,C,0,3,R' U' F' R U' R' U' F U' F' U',9
CubingKeralaWinterOpen2017,1,D,0,2,U' R' U' R2 U' R' U2 R' U' F' R',9
VegasCubingFall2023,f,A,1,2,F' R' U' R U' R' U' R' U' F' U2,9
TbilisiAugustOpen2023,1,B,0,4,R' F' U' F' R2 U' F' U' R' U' R,9
DunasOpen2016,2,B,0,5,U' R' U' R2 U' F' R' U2 R' U' F',9
SouthBerwickOpen2016,f,A,0,1,R' U' R' U' F' U' F R2 F' U' R',9
HyderabadSummerOpen2022,2,B,0,3,U' R F' U' F' R' U' R U' R' U',9
HungarianAllRounder62025,1,A,0,1,U' R' U' F' U F' U' R2 F' R' U',9
BinghamtonCubeDay2025,f,B,0,4,U' R' U' R2 U' R' U R' U' R' F',9
SumakKawsay2019,1,H,1,1,U' F' R' U R' U' R2 F' U' R' U',9
PenangCubeMasters2024,1,A,0,5,U R' F' U' F' U' R2 F' U' R' U',9
CrossstraitCubing2014,1,A,0,2,R U' R' U' R' U' F' U' R2 U' F',9
AldeillaOpen2023,1,B,0,5,U' R' U' F2 U' R2 U' F' U' F' U',9
SlovakianOpen2016,1,C,0,2,U' R F' U' R' U' R U' R' F' U',9
LinghemOpen2024,1,A,1,1,U' R' U' F' U2 F' U' F' R' F U',9
CouveCubingFall2024,1,D,1,2,U' R F' U' R' U' R' U' R2 U' R',9
MaruCubeDayTaiwan2024,1,C,0,5,R U' F' R' U' R2 U' F' U' R' U',9
MumbaiOpen2014,d,A,0,4,R' U' R2 F' U' F' R' U' R' U' F2,9
StevenageApril2025,2,A,0,3,U' R' U' R2 U' R U' F' R' U' R',9
ClesTooHotForCubing2023,1,A,1,1,U' R F' R' U' R' U' F' U R' U',9
WilerWuerfelFaescht2023,1,D,1,2,R' U' F' U' F' U2 R2 F' U' R' U',9
HuehueOpen2019,2,A,0,1,U' R U' F' R F' U' R' U' R' F',9
VietnamChampionship2025,1,C,0,3,U' R' U' F R2 U' F' R' F' R' U',9
NZSouthIslandChampionship2024,1,A,1,2,U' R' U' F' R2 F' R' U' R' U2 R',9
ButlerBlitz2022,1,A,1,2,R' U' R U' R' U' R2 U' R' F' U',9
MidSummerMadnessCapeTown2024,d,B,0,1,U' R' U' R U' R F' R' F' R' U',9
BelgianOpen2019,f,B,0,4,R' U' F' U' F U' R2 F' U' F' U',9
NancyOpen2017,2,A,0,5,U' R' U' R' U' R U' R' F' R U',9
MelbourneSummer2025,1,C,0,2,R' F' U' F' U R' F' R2 U' R' U',9
IIIMasovianOpen2019,1,C,1,1,U' F' R2 F' U' F' R' U' R' U' F,9
KublordagJonkopingIX2025,1,A,1,2,U' R' F' R U' R' U' F U' F' U',9
BrisbaneIsBackOn2021,1,F,0,2,R U' F' U' R' U' R' U2 R' U' F',9
AberdeenAutumn2023,d,D,0,2,U' R' F' U' F' U' F' U2 R U' R',9
EugeneHarvestCubing2024,1,A,0,4,R' U' R2 U' F' U2 R' U' R' F' U',9
ToftaAutumnOpen2023,f,A,0,4,R' F' U' R U' R' U' F' U2 F' U',9
CubingATMOSphere2023,1,A,0,5,U' R' F' U' R2 F' R' U' R' F U',9
TorneodeSpeedcubers2016,1,A,0,5,R U' F' U' F' U' R' U' R' U' R,9
CharenteOpen2025,1,B,1,1,U' R' U' F' U2 F' U' R2 F' R' U',9
BarbyCubeAutomne2017,f,A,0,4,F' R' U' R U' R' U' R' U' R' F,9
TwistyTaranaki2021,1,A,1,2,R' F' R2 U' F' R' U2 R' U' F' U',9
KhuvsgulCubeDay2025,1,D,0,1,R' U' F' R U R' U' F' U' R' U',9
KJSCEMumbaiOpen2016,d,J,0,4,U' R' U' R2 U' R' U' R' U' F' R,9
ShenzhenOpen2019,f,C,0,4,U' R' U' R' U' F R2 U' R' U' R',9
UralAutumn2019,f,A,0,3,U' R' U' R2 U' R' F' U' F' U' R2,9
FariaBrito2023,1,C,0,1,R' U' R U' R' U' F U' F' U' F',9
TramshedsVAutumnSaturday2025,2,C,0,5,R' F' R U' F' U' R' U' R' U' R,9
IbarraOpen2019,1,A,0,1,U' F' U' R' U' R' F' U2 R U' R',9
AaseeAlgorithms2023,f,B,1,2,U' R' U' F' U2 F' U' F' U' R2 F',9
CampeonatoBrasileiro2024,1,F,0,4,U' R' U' F U' R2 U' R' U' R' F',9
ManchesterSpring2025,1,B,0,3,U' R' U' R2 U' F' R' U' R2 U' R',9
ParaisoaoCuboDC2024,1,A,0,5,R' U' R2 U' R' U' R U' R' F' U',9
VirginiaChampionship2023,2,A,0,3,U' R' U' F' U' R U' R2 U' F' U',9
