competitionId,Ao5,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
QUTQubeChallengeSaturday2023,1.67,1,F,1,U' R' U2 F U' F' R2 F R2 U' R2,8, U2 F2 U R2 U' R2 U2 F'
QUTQubeChallengeSaturday2023,1.67,1,F,2,R' F R' F2 U' F' R U' R U' R',9, R U2 R2 F U F' R F2 R
QUTQubeChallengeSaturday2023,1.67,1,F,3,R2 U' R U' R' U' R2 U2 R2 F' R,10, F U2 F2 R' U' F' U' F R F2
QUTQubeChallengeSaturday2023,1.67,1,F,4,R' U' R U R U2 F' R' U2 R2 U2,9, R2 U2 R' F U' R U' R' U'
QUTQubeChallengeSaturday2023,1.67,1,F,5,F' U2 R U2 R U2 R' U R' U R,9, F2 U' F' R2 F U2 F U' F'
HonoluluHPermHoike2023,2.0,1,B,1,R' U' R' F R U' R' U2 F R U2,9, U2 R U' R2 F2 R U2 F' U
HonoluluHPermHoike2023,2.0,1,B,2,U R U2 F2 R U' R2 U' R2 U' R2,9, F2 U F U' F2 U' R' U2 F'
HonoluluHPermHoike2023,2.0,1,B,3,U2 R' U' R U' R U' R2 F' R' U',9, U R U2 R2 U' F' R U' F'
HonoluluHPermHoike2023,2.0,1,B,4,F U2 R2 U' F' U' R2 U' R U' R',8, R' U2 R' F' R U' F U2
HonoluluHPermHoike2023,2.0,1,B,5,U2 R' F' U' F U F U' R U R',9, U2 F' U F2 U2 F U' R U'
LETIOpen2017,2.0,2,B,1,U' R' U F R U R' F' R2 U2 F,9, F' U2 R F' R U' F' R U2
LETIOpen2017,2.0,2,B,2,R' F U' R' F R U2 R F' R' U',9, R F2 U R U R' U F' U'
LETIOpen2017,2.0,2,B,3,R U R' U' F U2 F2 U2 R U R,8, F U' F' R2 U' F' U2 F
LETIOpen2017,2.0,2,B,4,U F' U F U' R2 U2 R' U2 R' U2,9, U2 F2 R' F' U F2 U F R2
