competitionId,Ao5,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
SpeedinColors2018,6.64,1,A,1,R2 F' R' U' R U' R2 U' R2 U2 F',9, U F' R2 F R' U2 R' F U
SpeedinColors2018,6.64,1,A,2,R' F R' F R F U' R U' R U',8, R2 U2 R F' U R U' F2
SpeedinColors2018,6.64,1,A,3,R U' R2 U' F' U' R' U2 R U R,6, R' U' F R U2 R'
SpeedinColors2018,6.64,1,A,4,R F' R2 U' F U2 F R U' F R,8, F U' R2 F' R' F2 R F2
SpeedinColors2018,6.64,1,A,5,U R' F2 U' R2 U2 R' U' R' F' R,8, R U' F U2 F2 R' F U
SmallCubingItaly2015,6.92,2,A,1,U2 R' F' U F U' R U' R F' U2,8, U2 F R' F' U F R' U'
SmallCubingItaly2015,6.92,2,A,2,U' R' F' U2 F U' F U2 R2 U' R',8, R U' F U2 R' F R2 F'
SmallCubingItaly2015,6.92,2,A,3,R U' F U2 F U R U' R' U' R',8, U' F' R2 F' U R U2 R'
SmallCubingItaly2015,6.92,2,A,4,U R' F' U' F U F U' R F U',9, F U R' U' F' U2 R F' U2
SmallCubingItaly2015,6.92,2,A,5,R F R U2 R' U2 R2 U' F' U2 R',7, U F' R F2 R' U2 R
PikesPeakReturnsA2021,6.99,1,E,1,F2 R U' R' U' F' U2 F R U2 R,7, R F U' F2 U F' R
PikesPeakReturnsA2021,6.99,1,E,2,U' F R U' R' U' R U2 R' F U',6, F' U R U2 R' U2
PikesPeakReturnsA2021,6.99,1,E,3,U2 R' F' R' U' R2 U' R' U' R' U2,7, U2 F' R' F U R' F'
PikesPeakReturnsA2021,6.99,1,E,4,U2 F R U R U2 R' U2 R' U2 F,9, F2 R2 U2 F U R2 F R' U'
PikesPeakReturnsA2021,6.99,1,E,5,U' R' U2 R2 U' F' R2 F' R2 F' U2,9, R F2 R2 F R U2 F' R F'
NortheastChampionship2022,7.05,2,A,1,U R U2 R2 U2 R2 U' R2 F R U',7, F' R2 U' R' F R U'
NortheastChampionship2022,7.05,2,A,2,R' U2 R2 U' F' R2 F R U2 R' U,10, F2 R2 F U2 R' F2 R' U' R2 U'
NortheastChampionship2022,7.05,2,A,3,U R F' U2 R' U R' U2 F' U2 R2,8, U2 R' F R' F' R2 U' R2
NortheastChampionship2022,7.05,2,A,4,U2 R' F' U2 R U' R2 U' R U' R,6, F2 R' U F2 U' R
NortheastChampionship2022,7.05,2,A,5,U R' U2 R' U2 R U R U' F' U',8, R U2 F' R' U2 R' F R2
SCMUICTOpen2016,7.21,f,B,1,U R U' R' U2 R' U' F' R' F' U',8, U F2 U F' R U2 F U
SCMUICTOpen2016,7.21,f,B,2,U' R' U' R U2 R' U2 F2 U' F R2,9, F U F2 U F U' R2 U' F
SCMUICTOpen2016,7.21,f,B,3,R' F2 U2 F' R U R F' U' R' U,5, U' F' U F2 U2
SCMUICTOpen2016,7.21,f,B,4,R' U R U R' U' F' U R U' R2,8, R U' F2 R' F R F2 R
SCMUICTOpen2016,7.21,f,B,5,R F R F R U R U2 R' U' R,7, R F' R' U F2 U' R'
BeijingWinter2025,7.22,d,D,1,R' F U' F U' F R2 F U' F2 U2,7, F2 R' U R2 F' U2 F'
BeijingWinter2025,7.22,d,D,2,U2 R U2 R2 U' R U2 R' F2 U F',7, R2 U' F R2 U' F2 U'
BeijingWinter2025,7.22,d,D,3,U2 R U R' U2 F U' F R2 F' U',9, F' U' F' U' R F' R F2 U
BeijingWinter2025,7.22,d,D,4,R' U' F2 U' R2 U' R2 U2 F2 U2 R2,7, F2 U F2 U' R2 U' R'
BeijingWinter2025,7.22,d,D,5,U R U' F R' U' F R U' R' F,7, F' R U F' R F' R'
MorroReuterCubing2023,7.25,d,C,1,F U' R2 U2 R' U R U' R2 F R2,8, U2 R U' F U' F' U' R
MorroReuterCubing2023,7.25,d,C,2,U2 R' F U F U' F U' F' U' R,6, F U R' U F' U
MorroReuterCubing2023,7.25,d,C,3,R2 U' R U R' U2 F2 R U R F',7, U R F' U F' R2 F'
MorroReuterCubing2023,7.25,d,C,4,U2 R U' R2 F U' F U2 R2 F2 U',9, F2 R F2 U' F U R2 F' R
MorroReuterCubing2023,7.25,d,C,5,U2 R U' F' R2 F U' R2 U2 R2 U',7, U' R' U F2 U' R2 U2
MonterreyBogotaII2023,7.34,d,D,1,U R U' F' R' U' R2 F R U' R',6, F' R' F R' U F
MonterreyBogotaII2023,7.34,d,D,2,R2 U2 F U' R U2 F U' R U R',9, U2 R F U' F R2 U' F U2
MonterreyBogotaII2023,7.34,d,D,3,R U' R' U' F2 U2 F U2 R U' R',6, U2 R' F2 R F' U
MonterreyBogotaII2023,7.34,d,D,4,R U' R' U' F' R' U R' F U' R,9, R2 F' R' U F2 U2 R F' R2
MonterreyBogotaII2023,7.34,d,D,5,R U2 F' R2 U2 R U2 F U' R U2,7, U2 F2 U' R F2 U' F
RockyTop2023,7.34,1,A,1,R' F R U' R U2 R2 U2 F' U2 R,8, U2 R2 U R2 F' R' U F'
RockyTop2023,7.34,1,A,2,R' F U2 F U R2 U' R2 U2 F R2,9, F U' F2 R2 F' U2 F' R' U
RockyTop2023,7.34,1,A,3,R' U R2 U' R2 F U R2 F' R' U',9, F' U2 F R' U R' F U' F'
RockyTop2023,7.34,1,A,4,R' U2 F' R2 U' R' U2 R' U' F U,7, F R' F' U' F2 R' F
RockyTop2023,7.34,1,A,5,R' U' F U2 R2 U' R2 F' R' F R,9, F2 R U' R' U F U2 R' F2
DSFGeneralforsamlingen2024,7.38,1,D,1,R U2 R' U' R U2 R' F' R' U' R,7, R F2 U' F2 R' U F
DSFGeneralforsamlingen2024,7.38,1,D,2,U' R2 U2 F U' R U' F U' F R2,8, F R F2 R U' F R F2
DSFGeneralforsamlingen2024,7.38,1,D,3,U' R2 U' F U R U2 R' U' F U2,10, F U R2 U2 F2 U' R2 U R' U'
DSFGeneralforsamlingen2024,7.38,1,D,4,U' R' F' U' R U R' F2 R2 U' R',7, F R' F' U R' F2 R2
DSFGeneralforsamlingen2024,7.38,1,D,5,U R' U' R2 F R U F' R U' R,10, F R F' U F2 R F2 R' F U
RubikerosOpen2016,7.4,f,B,1,U' R' U' R F' R' U2 R' U F U2,8, F' U R' F' U R2 U' R
RubikerosOpen2016,7.4,f,B,2,U R' U R2 U2 R2 U' F R U' R,6, F2 U R' U R F2
RubikerosOpen2016,7.4,f,B,3,U2 R' U2 F U F2 U' F R U R',10, F' R F R' F R2 F' U2 R F'
RubikerosOpen2016,7.4,f,B,4,R U2 R2 U' R2 U' R2 U' F' U' R,8, R2 U2 R F' R2 F R2 F2
RubikerosOpen2016,7.4,f,B,5,R' U2 R2 F' R' U2 R U2 R' U R',9, F R2 F2 R' F' U R U' R'
GdanskCubingSummerCamp2019,7.41,1,B,1,U' R U2 R2 U' F R' F U2 F U',7, R2 U' F' U2 R2 F U
GdanskCubingSummerCamp2019,7.41,1,B,2,R U' R' U2 R' U R' U2 F R' F,9, U' F2 R2 U F R2 F2 R' F
