competitionId,roundTypeId,groupId,isExtra,scrambleNum,scramble,Half Turn Count
TCGSpaceSantaAnita2023,1,E,0,3,U2 R' F2 R2 U2 R2 U' R2 U2 R2 U2,9
CubeFactoryRogow2024,2,C,1,2,R2 U2 F R2 U2 R' U2 R' U2 R2 U2,8
MilduraMadness2023,2,A,0,4,R2 U2 F U2 F R2 U2 R2 U2 R U2,8
PDXCubingBeta2015,1,A,0,5,U2 R' U2 R2 U2 R' F2 U2 R2 U' R2,8
NoPlaceForDNFSpring2019,1,A,0,1,U' R U2 R2 U2 R2 U' R2 U2 F2 R2,8
ParlaOpen2022,f,A,0,1,U2 R' F2 R2 U2 R2 U' F U2 R2 U2,8
FuenlabradaOpen2018,2,B,0,1,U2 R' U2 F U2 R2 U2 R2 U2 F U2,8
PBsinPalisadesOpen2025,1,B,0,2,U2 R' F U2 R2 U2 R2 U2 F' R2 U2,8
200Peru2024,f,A,0,4,U2 F2 U2 R2 U2 R2 U' R U2 R' U2,8
BatonRougeWinterB2025,1,B,1,2,R2 U2 F U2 F R2 U2 R2 U2 R2 U',8
EzhouOpen2019,2,A,0,3,R' U2 R2 U2 R2 U' F U2 F2 U2 R2,8
SwissScienceOpen2024,f,C,1,1,R' F2 U2 R2 U2 R2 F U' R2 U2 R2,8
DutchMasters2020,f,D,1,1,U2 R' F U2 R2 U2 R2 U2 F R2 U2,8
YakimaValleyCubingSpring2019,1,A,0,5,U2 R' U2 R2 U' R2 F2 U2 R2 U' R2,8
BayonneAtoutcubesOpen2023,1,C,1,2,R2 U2 F U2 F R2 U2 R2 U' R2 U2,8
IrunaOpen2023,1,D,0,4,R U2 R2 F2 U' R2 U2 R2 U2 R U2,8
AutotaloAnimeAdventureVI2024,f,A,0,2,F2 U2 F R2 U2 R2 U2 R U2 R' U2,8
MichiganChampionship2024,1,E,0,5,R' U2 F2 U2 R2 U2 R2 U' F' R2 U2,8
SacCubingVI2019,d,B,0,5,R U2 R2 F U2 R2 U2 R2 U2 R U2,8
PaladiamanteOpen2022,f,B,0,1,U2 R U2 R2 U2 F R2 U2 R2 U2 R,8
PonikvaOpen2022,1,B,0,2,U2 R' U2 F2 R2 U2 R2 U' F R2 U2,8
AutotaloAnimeAdventure82024,1,B,0,4,R U2 R2 U2 R2 U2 R2 F R2 U2 R',8
KarkiOpen2024,d,B,0,4,R' U2 F U2 F R2 U2 R2 U2 F2 R2,8
AFSwedishCubeOpen2016,f,A,0,4,U2 R' U2 R2 U2 R2 F U2 F U2 R2,8
SAC2022,1,A,0,4,R U2 R2 U2 R2 U2 R2 U' F R2 U2,8
SlovakianCubeDay2018,1,A,1,2,U2 R' F2 U2 R2 U2 R' U2 R2 U2 R',8
ToulonOpen2017,2,B,1,1,R' U2 F2 U2 R2 U' R2 U2 F U2 R2,8
PhoenixMarketcity2019,f,A,0,4,U2 R U2 F' R2 U' R2 U2 R2 U2 R2,8
SouthLuzonChampionship2022,c,B,1,2,U2 R2 U' R2 F R2 U2 R2 U2 F U2,8
BucharestCubingMayB2024,1,A,0,4,U' R' F U2 R2 U2 R2 U2 F2 U2 R2,8
DebicaCubingSummer2024,2,B,1,2,R U2 R2 F U2 R2 U2 R2 U2 F U2,8
SydneySummer2023,1,G,1,2,R' U2 F U2 F R2 U2 R2 U2 R2 U2,8
BerkeleyFall2017,d,G,0,3,U2 R U2 R2 F2 U2 F R2 U' R2 U2,8
TbilisiMayOpen2024,f,A,1,1,R' F2 U2 R2 F' R2 F U2 R2 U2 R2,8
3eLordagskubeniVasteras2024,f,A,1,1,R2 F2 R2 U2 R2 U2 R U2 R' U' R2,8
Uppsalaligan1Coin2024,f,A,0,2,U2 F2 U2 F R2 U' R2 U' R2 U2 R2,8
GACubersGreetings2022,1,A,0,5,U2 R2 U' F U2 R2 U' R2 U2 R2 U2,8
BursaWinter2019,2,B,1,1,R2 F U2 F R2 U2 R2 U2 F R2 U2,8
UnicentroArmeniaII2024,1,B,0,5,U2 R2 U2 R2 U' R2 U2 R' U2 R' U2,8
CubingClassic2017,2,B,0,3,U2 R U2 R2 U2 F U' F2 U2 R2 U2,8
HolyToledoSummer2018,d,E,1,1,U2 R' U2 F R2 U2 R2 U2 R U2 R2,8
IcelandNationals2018,2,A,0,2,U2 R2 U2 R2 F U2 F U' R2 U2 R2,8
FariaBritoOpen2022,f,A,1,1,U2 R2 U' F U2 R2 U2 R2 U2 F U2,8
TCGFallArequipa2022,1,A,0,5,U' R U2 R2 U2 R2 U2 R2 U' F2 R2,8
RubiksWCAAfricanChampionship2024,2,A,1,2,U2 R' U2 R2 U2 R2 U2 F2 U2 R U',8
MelbourneTrilogySaturday2022,1,C,0,2,U2 R' U2 R2 U' R2 F2 R2 U2 R2 U',8
ABHC2017,f,B,1,1,U2 R2 U2 R2 F U' F2 U2 R2 U2 R',8
SergachWinter2019,1,B,0,2,R' U2 R2 U' R2 F2 R2 U2 R2 U' R2,8
GuateMayaOpen2016,1,H,1,1,U2 R U2 R2 F R2 U2 R2 U2 R U2,8
NexusMonsoonOpen2022,1,H,0,5,R2 U' R2 F U2 F2 U2 R2 U2 R' U2,8
SydneyOpen2019,1,C,0,4,U2 R' U2 F2 U2 R2 U2 R2 U' F U2,8
Cubetoberfest2015,2,A,0,5,U2 R U2 R2 U2 R2 F' R2 U2 F R2,8
MerryCubing2015,1,B,0,2,U2 R' U2 R2 F2 U2 R2 U2 R' U2 R',8
VilniusOpen2022,f,A,1,2,U2 R' U2 R2 U2 R2 F U2 F U2 R2,8
UzbekistanNationals2023,1,A,0,4,R' U2 F' U2 R2 U2 R2 F U2 R2 U2,8
SPOpen2014,1,B,0,1,U2 R' F' U2 R2 U2 R2 U2 F R2 U2,8
SEChamp2018,1,H,1,2,R U2 R2 F U2 R2 U2 R2 U2 F R2,8
SiouxCitySunday2023,1,A,0,1,R2 U2 R2 U2 F R2 U' R2 U' R2 U2,8
FlashbackCollectorMetz2024,1,C,0,5,R' U2 R2 U' R2 F U2 R2 U2 R2 U2,8
HonoluluHaulelau2024,1,A,1,2,R U2 R2 F R2 U2 R2 U2 F U2 R2,8
XuzhouWinter2018,2,A,1,2,U2 R' U2 R2 U2 R2 F U' F2 R2 U2,8
IIIProjectWarszawa2019,1,D,1,1,R' U2 R2 U' R2 F2 U2 F U2 R2 U2,8
MagicRevenge2015,1,A,0,4,R U2 R2 F2 U' F2 U2 R2 U2 R2 U',8
CultAWayCubeOpen2018,1,E,0,1,U2 R U2 R2 F R2 U2 R2 U2 F U2,8
MiniCampeonatoSantiago2014,f,A,0,5,U2 R2 U R2 U2 R2 F U2 F R2 U2,8
NacionalesArgentinas2023,f,A,0,5,U2 R U2 R2 F R2 U2 R2 U2 F U2,8
RubikerosOpen2016,1,D,0,3,U2 R' U2 F2 U2 R2 U2 R2 U' R U2,8
PragueSummerOpener2024,1,A,1,2,U2 R' U2 R2 U' F' U2 R2 U2 R2 U2,8
CubingAbovetheDinosaurs2024,f,J,0,5,U2 R U2 R2 U' F U2 R2 U2 R2 U2,8
LosReyesdelCuboChiclayo2024,2,B,1,1,U2 R' F2 R2 F' U2 R2 U' R2 U2 R',7
Hannukubing2019,1,D,0,3,U2 R U2 R2 F' U2 F' U2 R2 U2 R',7
CubingUndertheStars2018,d,H,1,1,R2 U2 F U2 R2 U2 R2 F' R U2 R',7
Missoula2021,1,C,1,2,R' U2 R2 U' R2 F2 U R2 U' R2 U2,7
BasauriOpen2024,1,B,1,2,U2 R' U' F2 U2 R2 U2 R' U2 R U2,7
ItalianChampionship2021,1,D,0,5,U2 R' U2 R2 U2 R2 U' R2 U' R2 U',7
DornogoviCubeDay2019,f,A,0,5,R' U' R2 U' R2 U' F2 R2 U2 R2 U2,7
SouthEastTexasOpen2016,f,A,1,2,R U' R2 U2 R U2 R' F2 U2 R2 U2,7
MarrickvilleMiniOpenAM2022,f,A,0,4,U2 R' U2 R2 U2 R2 F2 R U R U2,7
DragonCubing2021,1,B,0,5,U2 R U2 R' U2 R' F2 R U2 R2 U2,7
PutraSpeedcubingChallenge2018,1,D,1,2,R' U2 R2 U' R2 U2 F2 U2 F R U2,7
CubeleloWinterOpen2016,1,E,0,1,U2 R' U2 F U2 R2 U' R2 F' U2 R2,7
SanDiegoSummerSplash2015,f,A,1,2,U2 R' U' R2 F' U2 R2 F2 U2 R U2,7
CarolinaSeasonStarter2018,1,A,0,4,U2 R' F U' F R2 U2 R2 U2 F2 R2,7
CarolinaSeasonStarter2018,1,A,0,3,R2 U2 F U2 R2 U2 R2 U2 R U R',7
BanjaLukaCubeDay2023,1,A,1,2,U' R' U2 R2 U2 R2 F R2 U' R2 U2,7
MarrickvilleMiniOpenAM2022,f,A,1,2,U2 R' U' F2 U2 R2 U2 R' U2 R U2,7
