competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Prime Move Count
UtahSpringOpen2019,1,C,0,5,R' U' F' U' F' U' F' U' R2 U' R',10
VilniusSpringOpen2023,f,A,0,4,U' R' U' R' U' F' R2 F' U' R' U',10
KharkivWinter2017,2,A,0,1,U' R' F' R U' R' U' F' U' F' R',10
LosReyesdelCuboChiclayo2024,1,F,0,2,U' R' U' F' U' R2 U' F' R' U' R',10
NacionalesUruguayas2024,2,C,0,2,R' U' F' U' R U' R' F' U' R' U',10
OakvilleAutumnLimited2018,2,A,0,1,R' U' F' U' R U' R' U' F' U' F',10
ClockingManiaCoacalco2025,f,A,0,4,R' U' F' U' R2 U' R' U' R' F' U',10
SacCubingIII2018,1,K,0,1,R' U' F' R2 F' U' R' U' R' U' F',10
FLIPOpen2018,1,C,1,1,U' R' F' U' R U' R' F' U' F' U',10
GuaraOpen2024,f,A,0,5,U' R F' U' F' U' F' U' R' U' R',10
LowerMorelandFall2018,1,F,0,1,U' R' U' F' R2 F' U' R' U' R' U',10
AnkaraAugust2024,1,B,0,2,U' R' U' F' R2 F' R' U' R' U' F',10
BurgasOpen2023,1,D,1,1,U' R' F' R2 U' R' F' U' R' U' R',10
TaiwanChampionship2024,1,F,0,3,R F' U' F' U' F' U' F' R' U' R',10
KyrgyzstanNationals2025,1,B,0,3,R' F' U' R2 F' R' U' R' U' F' R',10
Sqauckland2025,1,C,0,4,R' U' R' F' U' F' R U' R' U' F',10
TaiwanSummerOpen2014,2,A,0,1,R' F' U' R2 F' R' U' R' U' F' U',10
BattleofVirginiaBeachWinter2019,f,A,1,2,R U' F' U' R' U' R' F' U' R' U',10
SabahCubeOpen2018,1,A,0,1,R' F' R' U' R2 F' U' R' U' R' U',10
PSKGPremiereCubing2023,1,C,1,2,R' U' F' U' F' R2 U' R' U' R' U',10
LimaSummer2023,1,B,0,3,U' R' U' F' U' F' U' R U' R' U',10
FundacionAnayJoseBogota2024,1,A,0,5,R' U' R' F' U' F' U' R2 U' F' R',10
DixonFall2016,1,E,0,3,R' U' R2 U' R' U' R' U' F' U' F',10
MicentroFunza2024,d,D,0,4,F' U' R' U' R' U' R2 U' F' R' U',10
UkrainianOpen2015,2,A,0,2,U' R' U' R U' R' F' U' F' U' R',10
UNESPOpen2017,1,B,0,1,R' U' F' U' F U' F' R2 U' F' R',9
OsterhojOpen2019,1,A,1,1,R' U' F' R2 U' R' U' R' U' R2 U',9
AustinSummer2019,1,D,0,3,R' U' F2 U' R2 F' R' U' R' U' F',9
RioMarKennedyFortaleza2024,1,A,0,2,R' U' F' R U' R U' R' F' U' R',9
LinghemOpen2024,1,A,1,1,U' R' U' F' U2 F' U' F' R' F U',9
CostadelaLuzOpen2024,f,A,1,1,R' U' R' F U' R F' U' R' U' R',9
Gutekuben2024,f,B,0,5,R' U' R U' R' U' R2 U' F' U' F',9
CubingUSANationals2019,1,J,1,1,U' R' U' R' U' F' U' R U R' F',9
YJKL2023,1,B,0,2,R' F' U' R' U' R U' R' U' F U',9
TheHeartofTexas2025,1,C,1,1,R U' R' U' R' U' R U' R' F' U',9
HaNoiChampionship2019,d,B,0,3,R' F' R F' R' U' R' U' R U' R',9
KendedaKubingA2023,1,D,1,2,F' U' R2 F' U' F' U' R' U R' U',9
DFWEclipseCubing2024,1,B,1,1,R' F' U' F' U' R U' R' U2 R' F',9
CanadianChampionship2019,2,B,0,2,R' F' R U' R' F' U R' U' F' U',9
KonektaLaPerreraOpen2023,f,A,1,2,U' R' U' F' R2 F' U2 F' U' R' U',9
MolnlyckeOpen2023,2,A,0,3,R' U' F2 U' F' U' R2 U' F' U' F',9
KhuvsgulCubeDay2025,1,D,0,1,R' U' F' R U R' U' F' U' R' U',9
PugetSoundSummer2019,1,C,0,1,U R F' U' R' U' R' F' U' R' U',9
WelcomeBackToGuildford2015,1,C,1,2,U' R' F' U' F' R2 F' U' F' U' R2,9
CubingatHamptonBeach2025,1,C,0,1,U' R' U' F' U2 R' U' F' R U' R',9
AldeillaOpen2023,1,B,0,5,U' R' U' F2 U' R2 U' F' U' F' U',9
NationalCubingRegion2015,2,B,0,3,R' U' F' U' R2 U' F' R' U2 R' F',9
LadceOpen2025,2,C,0,1,R' U' F' R2 U' F' R' U' R F' R',9
HarvestMoonCapeTown2024,f,A,1,2,U R' U' R U' R' U' F' U' R' U',9
KjellerOpen2014,1,B,1,2,U' R' F' U' F U' R2 U' F' U' R',9
IbarraOpen2019,1,A,0,1,U' F' U' R' U' R' F' U2 R U' R',9
HeartlandChampionships2017,1,A,0,5,U' R' U' F U' F' R U' R' F' U',9
GLSCupIV2017,d,C,0,1,R' U' R2 U' R' U' F' U R' F' U',9
KjellerOpen2014,f,A,0,4,R' F' U' R U' R' U' R U' R' U',9
BorneoChampionship2017,f,D,1,2,R' U' F' U2 F' R2 U' R' U' R' U',9
SanDiegoSummer2019,1,A,0,3,U R' F' U' F' R2 F' U' R' U' R',9
IGARubik2017,d,C,0,5,R' F' U' F U' F' U' F U' F' U',9
BretzelOpen2023,f,A,0,4,U2 R' F' R' U' R2 F' R' U' R' U',9
UnorthodoxBlocksWisconsin2025,f,D,1,1,U' R U' R' U' R' F' R2 F' U' R',9
Tunja2023,f,A,0,5,U' R U' F' U' F' U' R' U R' F',9
YerevanOpen2023,d,D,0,2,U' R' U' F' U R F' U' R' U' R',9
Shenzhen10thAnniversary2019,f,A,0,1,U' R F' U' R' U' R' U' F' R U',9
CubingKnights2017,d,A,0,2,U' R' F' U' R U' R' F' U' R F',9
NorthSydneyCubeDay2023,1,A,0,1,R' F' R U' R U' R' U' R' F' U',9
BoltonSpring2024,f,A,0,1,R' U' R' F' R U' R' U' R U' R',9
PilaOpen2025,e,B,0,1,R' F' U' F' U' F' U' F U' R U',9
WichitaArtMuseumWinter2023,d,C,0,3,R' F' U' F' U' F R2 F' R' U' R',9
NZSouthIslandChampionship2024,1,A,1,2,U' R' U' F' R2 F' R' U' R' U2 R',9
SpokaneValleySummer2017,1,C,0,1,U' R' U' R U' R' F' R U' R' U',9
SpokaneValleySummer2017,1,C,1,1,R' U' F' R2 F' U' R' U' R' U' F,9
GuangzhouSmallCubes2025,d,B,0,2,U' R' U R' F' R2 F' R' U' R' U',9
KjellerOpen2025,1,C,0,4,R' U' R2 U' F' U' F' R' U' R' U2,9
BucharestCubingMarchA2024,1,A,0,3,F' R F' U' R' U' R' U' R U' R',9
UlaanbaatarSpring2024,1,C,1,1,R' F U' F' U' R2 U' F' U' F' R',9
RubikkuChamp2017,f,F,1,1,R' F' U' R F' R U' R' U' F' U',9
AlbaceteOpen2025,2,C,0,2,U' R' F' U' R2 F' R' U' R' F U',9
LyonLastLayer2025,1,A,0,2,U' R' U' F U' R2 U' R' F' U' F',9
ctOpenHannover2025,1,B,0,5,R' F' U' F' R2 F' U' R' U2 R' U',9
CubingATMOSphere2017,d,C,0,2,U' R' U' F' R2 F' R' U' R' U' F,9
PanamaOpenV22017,f,A,0,5,U' R2 U' R' U' R' U' R2 U' F' R',9
Back2Santiago2017,f,A,0,2,R' U' F' R' F' R U' R' U' F U',9
MokshaCubing2023,1,E,1,1,U' F' U' R U' R U' F' U' F' U',9
GeorgiaGoobers2019,1,D,1,2,R U' R' U' F' U' R' U' R' F' R,9
SingaporeNewcomers2024,1,C,0,1,R' U' R2 F' R' U' R' U' R U' R',9
ZhongshanOpen2017,2,A,0,3,U2 R' U' R U' F' U' F' R' U' R',9
AvesMariaNuevosCampeones2024,d,C,1,1,U' R' U' R F' R' U' R' U' R U',9
SolvingInSale2024,f,A,0,3,R' F U' F' U' R2 F' U' R' U' R',9
CajunCubeClash2019,1,A,0,2,R' F' U' F' R2 U' R' U' R' F R',9
NacionalesMedellinExplora2019,f,A,0,1,U R' U' F' R F' U' R' U' R' U',9
TJHSSTFall2017,f,A,1,1,R' U' R U' R' F' U' F' U' R2 F',9
MITFall2014,1,B,0,1,R' F' R' U' R U' R' F R' U' F',9
PlazaCenterCubeLimaIV2024,2,C,0,4,U' R' U' F U' F' U' F' U' R2 U',9
HDUOpen2017,2,B,0,5,R' U' R U' R' U R' F' U' F' U',9
TKKOpen2017,d,C,0,1,R' U' F' R2 U' R' U' R' U' F' U,9
NorthDallas2019,1,B,0,3,U' R' U' F' R U' R' F R' U' F',9
WilerWuerfelFaescht2023,1,D,1,2,R' U' F' U' F' U2 R2 F' U' R' U',9
OneDayIstanbulB2024,1,A,0,1,R' U' F' R U' R U' R' U' F' U',9
BerkeleyFall2017,d,H,1,2,R' U' R2 U' F' R' U' R' F' R2 U',9
UrnietaOpen2025,1,C,1,1,R' U' F' U' R2 U2 R' U' R' U' F',9
PretoriaScienceWeek2015,2,B,0,3,U' R' F' U' R2 U2 R' F' U' R' U',9
