competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_simulcount,simulcount_solution
BangkokSummer2024,5.33,2,A,0,1,UR2- DR4+ DL4- UL1- U2+ R5- D4- L3- ALL2+ y2 U1- R3- D0+ L5+ ALL2+,5,"DL(4,-2) UL(1,4) R(3,-3) D(0,-1) L(3,5)"
BangkokSummer2024,5.33,2,A,0,2,UR6+ DR1- DL1- UL6+ U5- R2+ D2- L6+ ALL1+ y2 U0+ R1- D5+ L5- ALL1+,6,"UR(5,3) DL(4,-1) UL(0,4) R(0,-1) L(-3,2) dr(6,5)"
BangkokSummer2024,5.33,2,A,0,3,UR2- DR2- DL6+ UL1- U3+ R0+ D1- L5- ALL4+ y2 U4- R0+ D5- L2- ALL6+,5,"DR(4,3) D(5,5) ur(5,3) dr(-1,-5) /(-3,1)"
BangkokSummer2024,5.33,2,A,0,4,UR3- DR2- DL5- UL1- U1- R2+ D2- L4- ALL1- y2 U1- R6+ D3+ L4+ ALL2-,7,"UR(3,-5) U(2,0) D(-3,5) L(-2,1) dr(4,3) ul(0,6) /(1,0)"
BangkokSummer2024,5.33,2,A,0,5,UR3+ DR5- DL4- UL1+ U3- R3+ D1- L0+ ALL3+ y2 U5- R3+ D4+ L1+ ALL3+,5,"UL(-1,-5) R(-1,-1) D(-2,-5) L(4,1) dl(3,4)"
BangkokSummer2024,5.33,2,A,1,1,UR1- DR3+ DL1- UL1+ U5+ R3- D2- L2- ALL1+ y2 U2+ R3+ D3- L4+ ALL3-,6,"UR(2,-2) U(5,-3) R(-1,1) L(2,4) ul(0,2) /(3,1)"
BangkokSummer2024,5.33,2,A,1,2,UR6+ DR3- DL2+ UL4- U4+ R4+ D6+ L4+ ALL1- y2 U5- R6+ D2+ L2- ALL6+,7,"UR(6,-4) R(-1,0) D(-5,-5) L(-2,2) dr(3,-4) dl(0,6) /(5,0)"
BeskidCubing2023,5.33,d,B,0,1,UR2- DR6+ DL2+ UL3+ U2- R3+ D5- L4- ALL4- y2 U1+ R5- D4+ L2- ALL1+ UR DL UL,7,"UR(1,2) DR(-3,0) R(-5,3) D(0,1) L(-1,-2) dl(-5,4) \(4,3)"
BeskidCubing2023,5.33,d,B,0,2,UR2- DR2- DL4- UL1+ U3+ R4+ D1- L5+ ALL5- y2 U4- R3+ D3+ L6+ ALL1- UR DL UL,5,"UL(-2,-1) D(-5,2) ur(2,6) dl(-5,3) /(-1,-3)"
BeskidCubing2023,5.33,d,B,0,3,UR5- DR1+ DL2+ UL3+ U0+ R2+ D0+ L6+ ALL2- y2 U1- R4+ D4+ L3+ ALL6+ UR DL UL,6,"UR(2,5) D(-3,-5) L(1,-1) dr(0,4) ul(-2,4) /(-5,-3)"
BeskidCubing2023,5.33,d,B,0,4,UR1+ DR3+ DL4+ UL5+ U6+ R2+ D3+ L3- ALL4- y2 U5- R2- D5- L3+ ALL1- DR DL UL,6,"DR(2,2) R(4,-4) L(6,3) dl(2,-5) ul(-5,-5) /(-2,-1)"
BeskidCubing2023,5.33,d,B,0,5,UR3- DR3- DL2+ UL2+ U1+ R2- D3+ L4+ ALL4+ y2 U0+ R0+ D0+ L6+ ALL1- UR DR UL,5,"UR(-4,3) UL(4,3) D(-2,6) ur(0,6) /(6,-1)"
BeskidCubing2023,5.33,d,B,1,1,UR5+ DR5- DL2- UL4- U4+ R3+ D0+ L0+ ALL1+ y2 U1+ R3- D3- L3- ALL5- UR DL UL,6,"UR(-5,2) DL(6,-2) R(2,-3) D(1,1) dr(4,-3) \(2,4)"
BeskidCubing2023,5.33,d,B,1,2,UR4- DR1+ DL3- UL6+ U3- R3+ D6+ L5+ ALL2+ y2 U2- R5+ D3- L0+ ALL2+ UR DR UL,5,"DL(3,-4) UL(1,-1) U(0,-3) D(5,5) ul(2,5)"
BristolAugust2025,5.33,f,A,0,1,UR2+ DR3- DL5- UL4+ U6+ R1+ D4- L5- ALL5+ y2 U5+ R1+ D4- L3- ALL0+,5,"L(6,-3) ur(-5,5) dr(0,-5) dl(6,1) /(4,1)"
BristolAugust2025,5.33,f,A,0,2,UR2+ DR4- DL2+ UL1- U1- R4+ D4+ L3- ALL1+ y2 U0+ R4+ D0+ L4- ALL5+,5,"DR(-2,5) R(0,4) L(2,-4) /(6,0) \(2,0)"
BristolAugust2025,5.33,f,A,0,3,UR5+ DR2+ DL4+ UL0+ U3- R5- D0+ L5+ ALL1+ y2 U5+ R5+ D4- L3+ ALL2+,6,"UR(-2,-1) DL(6,4) L(-3,-5) dr(5,-4) ul(-2,5) \(-1,0)"
BristolAugust2025,5.33,f,A,0,4,UR4+ DR2+ DL5+ UL2- U2- R1+ D0+ L0+ ALL4+ y2 U6+ R1- D6+ L6+ ALL0+,6,"UR(3,-2) UL(-3,-1) R(2,-1) D(5,6) dr(-2,6) \(-5,-3)"
BristolAugust2025,5.33,f,A,0,5,UR5- DR6+ DL1- UL6+ U3+ R4+ D3- L4+ ALL1+ y2 U1+ R5- D5- L6+ ALL1+,5,"DR(-5,1) DL(3,1) U(-4,-5) ur(2,6) ul(1,-5)"
BristolAugust2025,5.33,f,A,1,1,UR4+ DR3+ DL3+ UL5+ U2+ R5+ D4- L4+ ALL3- y2 U1+ R2- D1+ L0+ ALL3-,6,"UR(0,3) DL(0,4) U(1,1) D(-2,3) dr(3,0) ul(3,-2)"
BristolAugust2025,5.33,f,A,1,2,UR4+ DR1- DL0+ UL0+ U4+ R4+ D3+ L4- ALL2- y2 U2+ R6+ D6+ L2- ALL2+,6,"UR(5,-3) UL(-1,0) D(-2,2) L(5,-2) dl(0,6) \(-3,-1)"
CalmecacTlaxcala2023,5.33,f,A,0,1,UR2- DR0+ DL5+ UL0+ U2+ R3- D4+ L5- ALL5+ y2 U6+ R2+ D4- L5- ALL3- DR DL UL,5,"R(5,6) D(3,-1) ur(5,-5) dl(-3,-4) \(-4,0)"
CalmecacTlaxcala2023,5.33,f,A,0,2,UR6+ DR2- DL2+ UL3- U4- R3+ D2- L5+ ALL1- y2 U4- R5- D1- L2+ ALL6+ UR DR DL,7,"UR(3,1) DR(2,0) U(-2,0) L(-4,2) dl(-3,-1) ul(-5,-4) /(5,0)"
CalmecacTlaxcala2023,5.33,f,A,0,3,UR1- DR0+ DL2+ UL6+ U3+ R3- D5+ L2- ALL4- y2 U5- R1- D4+ L5- ALL3+ UR,6,"UR(4,-5) DL(5,3) L(1,-5) dl(-4,4) ul(-1,-5) /(1,4)"
