competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
BristolAugust2025,5.4,f,A,1,UR2+ DR3- DL5- UL4+ U6+ R1+ D4- L5- ALL5+ y2 U5+ R1+ D4- L3- ALL0+,5,"L(6,-3) ur(-5,5) dr(0,-5) dl(6,1) /(4,1)"
BristolAugust2025,5.4,f,A,2,UR2+ DR4- DL2+ UL1- U1- R4+ D4+ L3- ALL1+ y2 U0+ R4+ D0+ L4- ALL5+,5,"DR(-2,5) R(0,4) L(2,-4) /(6,0) \(2,0)"
BristolAugust2025,5.4,f,A,3,UR5+ DR2+ DL4+ UL0+ U3- R5- D0+ L5+ ALL1+ y2 U5+ R5+ D4- L3+ ALL2+,6,"UR(-2,-1) DL(6,4) L(-3,-5) dr(5,-4) ul(-2,5) \(-1,0)"
BristolAugust2025,5.4,f,A,4,UR4+ DR2+ DL5+ UL2- U2- R1+ D0+ L0+ ALL4+ y2 U6+ R1- D6+ L6+ ALL0+,6,"UR(3,-2) UL(-3,-1) R(2,-1) D(5,6) dr(-2,6) \(-5,-3)"
BristolAugust2025,5.4,f,A,5,UR5- DR6+ DL1- UL6+ U3+ R4+ D3- L4+ ALL1+ y2 U1+ R5- D5- L6+ ALL1+,5,"DR(-5,1) DL(3,1) U(-4,-5) ur(2,6) ul(1,-5)"
RareEventsAthens2024,5.4,d,A,1,UR2+ DR6+ DL3+ UL0+ U2- R5+ D2+ L3+ ALL4- y2 U4+ R0+ D0+ L0+ ALL2+,5,"UR(6,-5) DR(5,-4) UL(6,1) D(-4,4) \(-4,-2)"
RareEventsAthens2024,5.4,d,A,2,UR2+ DR1- DL6+ UL5- U1+ R3- D6+ L5+ ALL4- y2 U5+ R2- D0+ L0+ ALL5+,6,"UR(2,-3) DL(6,1) R(0,5) D(-5,0) ul(-1,5) \(3,0)"
RareEventsAthens2024,5.4,d,A,3,UR1+ DR1+ DL1+ UL5- U3- R3- D4- L4+ ALL6+ y2 U4+ R4- D4- L0+ ALL1-,6,"UR(-5,0) DR(6,0) D(-4,4) ur(-3,0) dl(-4,-4) \(0,-5)"
RareEventsAthens2024,5.4,d,A,4,UR1+ DR4- DL1+ UL5- U3- R3- D1+ L1- ALL6+ y2 U0+ R2+ D3+ L3- ALL5-,5,"DR(2,-3) U(-5,3) R(4,2) L(5,-3) \(1,-2)"
RareEventsAthens2024,5.4,d,A,5,UR2+ DR2- DL0+ UL4+ U4- R0+ D2+ L2- ALL0+ y2 U4+ R5+ D3- L4- ALL3-,5,"UL(-2,0) ur(4,-4) dl(5,-3) ul(0,-4) \(5,-2)"
