competition_id,event_id,round_type_id,group_id,scramble_count
625BayArea2017,222,f,A,6
AustralianNationals2025,444,d,C,6
MichiganMayMadness2014,333,2,A,6
SoutheastChampionship2019,sq1,f,A,6
625BayArea2017,222,f,B,6
DFWBacktoSchool2025,pyram,1,D,6
625BayArea2017,222,f,C,6
Paraguay2016,333,1,C,5
Paraguay2016,333,2,A,5
SouthernIndianaQualifier2025,555,f,A,5
RiseofCubersTagum2016,333,2,A,5
RiseofCubersTagum2016,333,2,B,5
RiseofCubersTagum2016,333,f,A,5
RiseofCubersTagum2016,555,f,A,5
RiseofCubersTagum2016,333,1,B,5
RiseofCubersTagum2016,333bf,f,A,5
RiseofCubersTagum2016,333oh,c,A,5
RiseofCubersTagum2016,222,c,A,5
RiseofCubersTagum2016,333oh,c,B,5
RiseofCubersTagum2016,444,f,B,5
RiseofCubersTagum2016,444,f,A,5
Paraguay2016,333,2,B,5
RiseofCubersTagum2016,222,c,B,5
Paraguay2016,333,1,D,5
Paraguay2016,333,1,A,5
Paraguay2016,333,1,B,5
RiseofCubersTagum2016,pyram,f,B,5
RiseofCubersTagum2016,pyram,f,A,5
RiseofCubersTagum2016,333,1,A,5
RiseofCubersTagum2016,skewb,f,A,5
RiseofCubersTagum2016,minx,f,A,5
Paraguay2016,222,1,B,5
RiseofCubersTagum2016,555,f,B,5
Paraguay2016,222,1,A,5
RiseofCubersTagum2016,minx,f,B,5
DolneOresanyOpen2025,444,c,C,4
RenoSpring2018,clock,f,A,4
RenoSpring2018,clock,f,B,4
CubingonLakeCochituate2025,222,f,A,4
SemarangReuniYuk2015,555,f,B,4
SemarangReuniYuk2015,555,f,A,4
SemarangReuniYuk2015,222,f,A,4
SemarangReuniYuk2015,222,f,B,4
SemarangReuniYuk2015,333,1,A,4
SemarangReuniYuk2015,444,c,B,4
SemarangReuniYuk2015,444,c,A,4
DuevilleOpen2015,333bf,f,A,4
SemarangReuniYuk2015,333,1,B,4
SemarangReuniYuk2015,333,f,A,4
SemarangReuniYuk2015,333bf,f,A,4
CouffouleuxOpen2025,sq1,f,A,4
IguatemiFortaleza2024,333,1,C,4
SlowNSteadyUMDFall2025,333,1,F,4
ThailandChampionship2025,pyram,f,A,4
NorwichSummer2022,222,d,A,4
WakefieldSummer2024,clock,d,B,4
RioMarFortalezaII2023,333,1,A,4
SemarangReuniYuk2015,333oh,c,B,4
SemarangReuniYuk2015,333oh,c,A,4
SemarangReuniYuk2015,333bf,f,B,4
BrilliantBNBB2018,clock,1,B,3
ClashOfCubersDavao2015,333,1,B,3
ClashOfCubersDavao2015,333,2,A,3
ClashOfCubersDavao2015,333,2,B,3
ClashOfCubersDavao2015,333,f,A,3
TagumCityOpen2016,skewb,f,A,3
BrilliantBNBB2018,clock,1,A,3
Cube4funZyrardow2025,444,d,C,3
BrilliantBNBB2018,clock,f,A,3
CubingforaCause2015,pyram,f,B,3
SezanneOpen2023,222,f,B,3
TridentumOpen2023,skewb,d,B,3
DragonCubingII2023,333oh,d,B,3
MYHMBoliviaNationals2025,777,f,A,3
CFLFinalLodz2025,222,1,A,3
FruitSalad2018,clock,f,A,3
TagumCityOpen2016,pyram,f,B,3
BangkokBrainnCube2025,clock,d,B,3
TECOpen2022,clock,c,B,3
EphrataFall2025,clock,d,C,3
FrejusOpen2022,333oh,1,A,3
MinnesotaNewcomerSaturday2024,skewb,1,A,3
PugetSoundSpring2016,333,2,A,3
TagumCityOpen2016,skewb,f,B,3
PugetSoundSpring2016,333,1,G,3
PugetSoundSpring2016,333,1,F,3
PugetSoundSpring2016,333,1,D,3
SEChamp2018,clock,f,A,3
SEChamp2018,clock,2,C,3
SEChamp2018,clock,2,B,3
SEChamp2018,clock,2,A,3
SEChamp2018,clock,1,D,3
PugetSoundSpring2016,333,1,E,3
IceCubingSzczecinek2024,222,1,A,3
CFLGoesSidewaysRogow2025,444bf,f,B,3
CubicleDayOxford2024,clock,f,B,3
BrownFallSeongnam2024,clock,f,A,3
ClashOfCubersDavao2015,333bf,c,A,3
ClashOfCubersDavao2015,333oh,c,A,3
FloridaFeast2017,clock,c,A,3
