competition_id,event_id,round_type_id,group_id,scramble_count
DFWBacktoSchool2025,pyram,1,D,11
AustralianNationals2025,444,d,C,11
SoutheastChampionship2019,sq1,f,A,11
Paraguay2016,222,1,B,10
Paraguay2016,222,1,A,10
Paraguay2016,333,2,B,10
Paraguay2016,333,2,A,10
Paraguay2016,333,1,D,10
Paraguay2016,333,1,C,10
Paraguay2016,333,1,B,10
Paraguay2016,333,1,A,10
RiseofCubersTagum2016,skewb,f,A,10
RiseofCubersTagum2016,pyram,f,B,10
RiseofCubersTagum2016,pyram,f,A,10
RiseofCubersTagum2016,minx,f,B,10
RiseofCubersTagum2016,minx,f,A,10
RiseofCubersTagum2016,555,f,B,10
RiseofCubersTagum2016,333oh,c,A,10
RiseofCubersTagum2016,222,c,A,10
RiseofCubersTagum2016,222,c,B,10
RiseofCubersTagum2016,333,f,A,10
RiseofCubersTagum2016,333,2,B,10
SouthernIndianaQualifier2025,555,f,A,10
RiseofCubersTagum2016,444,f,B,10
RiseofCubersTagum2016,444,f,A,10
RiseofCubersTagum2016,333oh,c,B,10
RiseofCubersTagum2016,555,f,A,10
RiseofCubersTagum2016,333,2,A,10
IguatemiFortaleza2024,333,1,C,9
SemarangReuniYuk2015,444,c,B,9
RenoSpring2018,clock,f,B,9
SemarangReuniYuk2015,333oh,c,A,9
RenoSpring2018,clock,f,A,9
SemarangReuniYuk2015,333,f,A,9
SemarangReuniYuk2015,333,1,B,9
SemarangReuniYuk2015,333,1,A,9
SemarangReuniYuk2015,555,f,B,9
SemarangReuniYuk2015,222,f,B,9
CouffouleuxOpen2025,sq1,f,A,9
SemarangReuniYuk2015,222,f,A,9
RioMarFortalezaII2023,333,1,A,9
CubingonLakeCochituate2025,222,f,A,9
DolneOresanyOpen2025,444,c,C,9
SemarangReuniYuk2015,333oh,c,B,9
SlowNSteadyUMDFall2025,333,1,F,9
ThailandChampionship2025,pyram,f,A,9
NorwichSummer2022,222,d,A,9
SemarangReuniYuk2015,444,c,A,9
SemarangReuniYuk2015,555,f,A,9
WakefieldSummer2024,clock,d,B,9
RLRC2025,222,f,A,8
WindsorClassic2017,clock,f,A,8
TECOpen2022,clock,c,B,8
SIGI2014,333oh,1,B,8
ReturnoftheVilleKY2025,333,1,C,8
SIGI2014,222,f,A,8
SIGI2014,skewb,1,A,8
SIGI2014,333,1,A,8
SIGI2014,skewb,1,B,8
SIGI2014,skewb,f,A,8
CubingEkatOpen2021,clock,c,A,8
SIGI2014,333oh,1,A,8
SIGI2014,222,d,B,8
SPOpen2014,222,1,A,8
RioMarKennedyFortaleza2024,222,2,C,8
NorthernKentucky2024,sq1,d,A,8
CubicleDayOxford2024,clock,f,B,8
IcelandicNationals2021,333,1,A,8
SIGI2014,333,f,A,8
SIGI2014,333,1,B,8
SIGI2014,222,d,A,8
SPOpen2014,222,1,B,8
SEChamp2018,clock,2,A,8
SEChamp2018,clock,2,B,8
SEChamp2018,clock,2,C,8
SEChamp2018,clock,1,D,8
SEChamp2018,clock,f,A,8
VarshaRituCubeOpen2022,pyram,f,A,8
OlsztynOpen2024,555,d,B,8
ClassicCity4Charity2017,clock,1,A,8
ClassicCity4Charity2017,clock,1,B,8
ClassicCity4Charity2017,clock,f,A,8
PennsylvaniaChampionship2024,333,2,B,8
HessenMiniOpen2025,333,1,C,8
StevenageMarch2025,333,d,A,8
SIGI2014,sq1,c,B,8
SPOpen2014,222,2,A,8
SIGI2014,pyram,f,A,8
SIGI2014,pyram,1,B,8
SIGI2014,pyram,1,A,8
SturgeonBayBigCubes2024,333,1,A,8
SEChamp2018,clock,1,C,8
SEChamp2018,clock,1,B,8
SEChamp2018,clock,1,A,8
LeopardstownCubeRaces2025,222,f,D,8
SIGI2014,minx,1,B,8
SIGI2014,minx,1,A,8
SIGI2014,444,f,A,8
SIGI2014,444,d,B,8
SIGI2014,444,d,A,8
