competitionId,eventId,roundTypeId,groupId,Scramble Count
AlbaceteOpen2016,444bf,f,A,2
AlicanteOpen2016,444bf,f,A,2
AlicanteOpen2016,555bf,f,A,2
Alziramuevelaspiezas2017,444bf,f,A,2
AquarelaSpeedcubing2015,444bf,f,A,1
AquarelaSpeedcubing2015,555bf,f,A,1
ArchenaOpen2015,444bf,f,A,2
ArchenaOpen2016,444bf,f,A,2
ArchenaOpen2016,444bf,f,B,2
ArchenaOpen2016,444bf,f,C,2
ArchenaOpen2016,555bf,f,A,2
ArchenaOpen2016,555bf,f,B,2
ArchenaOpen2016,555bf,f,C,2
AsturiasOpen2015,444bf,f,A,2
AsturiasOpen2016,444bf,f,A,2
AsturiasOpen2017,555bf,f,A,1
AustrianOpen2014,444bf,f,A,2
AustrianOpen2014,555bf,f,A,2
BasauriOpen2014,444bf,f,A,1
BasauriOpen2015,444bf,f,A,2
BasauriOpen2016,444bf,f,A,2
BasauriOpen2017,444bf,f,A,2
BasauriOpen2018,444bf,f,A,2
BelgiumSummerOpen2017,444bf,f,A,2
BelgiumSummerOpen2017,555bf,f,A,2
Brasileiro2017,444bf,f,A,2
Brasileiro2017,555bf,f,A,1
BrasileiroInverno2014,555bf,f,A,2
CaltechFall2016,444bf,f,A,1
CaltechFall2016,444bf,f,B,1
CamarmaOpen2014,444bf,f,A,2
CamarmaOpen2016,444bf,f,A,2
CampeonatodePortugal2015,444bf,f,A,2
CerbunaOpen2015,444bf,f,A,2
ChachyaOpenRotaryEdition2018,333bf,f,A,2
ChachyaOpenRotaryEdition2018,444bf,f,A,1
ChampagneOpen2014,444bf,f,A,1
ChampagneOpen2014,555bf,f,A,1
ChampagneOpen2015,444bf,f,A,1
ChampagneOpen2015,555bf,f,A,1
ChampagneOpen2016,444bf,f,A,1
ChampagneOpen2016,444bf,f,B,1
ChampagneOpen2016,444bf,f,C,1
ChampagneOpen2016,444bf,f,D,1
ChampagneOpen2016,555bf,f,A,1
ChampagneOpen2016,555bf,f,B,1
ChampagneOpen2016,555bf,f,C,1
ChampagneOpen2016,555bf,f,D,1
ChampagneOpen2017,444bf,f,A,1
ChampagneOpen2017,555bf,f,A,1
ClassicSanLorenzoOpen2016,444bf,f,A,1
ClassicSanLorenzoOpen2016,555bf,f,A,1
ColombiaNationals2014,555bf,f,A,1
ConstantaCubeDay2014,333bf,f,A,2
CroatianOpen2014,444bf,f,A,2
CroatianOpen2014,555bf,f,A,2
DanishOpen2016,444bf,f,A,2
DanishOpen2016,555bf,f,A,2
DilimanCubeDay2017,444bf,f,A,2
DilimanCubeDay2018,444bf,f,A,2
FLIPOpen2015,333bf,1,A,2
FLIPRubikOpen2016,444bf,f,A,1
FLIPRubikOpen2016,555bf,f,A,1
FantabulousMaryland2015,555bf,f,A,2
France2015,444bf,f,A,2
France2015,555bf,f,A,2
France2016,444bf,f,A,1
